Product,Brand,Gender,Category,Movement Type,Case Material,Case Size,Case Thickness,Dial Color,Glass,Band Material,Band Color,Buckle,Water Resistance,Other Specs
CBG-169U-4B,Baby-G,Women, Digital Watch,Quartz (Digital),Resin,42.6mm,16.4mm,Pink,Mineral ,Resin Band,Pink,silver-tone metal pin ,20 ATM,Approx. battery life: 3 years on CR1616
CBA-110XBE-7A,Baby-G,Women, Digital Watch,Quartz (Digital),Resin,40mm,15.8 mm,Blue,Mineral,Resin Band,White ,Single-prong pin buckle,100M,Approx. battery life: 2 years on SR726W X 2
